	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau
C15orf41	all	0.057580828937763846	-0.03378653176195761	6	6	all	0.05219004336083545	-0.03928156363807803	6	6	all	0.02015008652306766	-0.03653404770001783	6	6	all	0.0650391037851604	-0.07961333783401821	6	6	all	0.37174062633163485	-0.01610517192984251	6.0	6.0	all	0.07347092678146624	-0.05724355496876913	6.0	6.0	all	0.007932198319201009	-0.27395367408874244	6	6	all	0.057119759162082354	-0.23272179694334774	6	6	all	0.00407048564886576	-0.23493649076417278	6	6
C15orf57	all	0.06330691551055877	0.037304331387424804	10	10	all	0.10030319009871086	0.03389622296779097	10	10	all	0.013645747310273314	0.030389308412708958	10	10	all	0.010121721344042142	-0.14902643096812254	10	10	all	0.0215377423112324	-0.11999370246829578	10.0	10.0	all	0.004337641909650715	-0.12737712473464213	10.0	10.0	all	0.05957920180860682	-0.3579852888418989	10	10	all	0.07176430788510996	-0.12046741881763623	10	10	all	0.022428361989854626	-0.3207573957746029	10	10
C17orf70	all	0.13704513247981442	-0.001381901320584913	10	10	all	0.422342738506292	-0.01316101366147514	10	10	all	0.14708632322514237	-0.02236858462504164	10	10	all	0.5354982385009782	0.0258649659990676	10	10	all	0.930824077865649	0.043576480244872096	10.0	10.0	all	0.7999967995151354	0.024001406315618423	10.0	10.0	all	0.5080916313720928	-0.13153252511334732	10	10	all	0.8516532844380815	0.08403339953221238	10	10	all	0.4222163649180882	-0.05174119662611356	10	10
C19orf25	ENST00000586564.1,ENST00000592872.1,ENST00000585675.1	0.1975345526214073	-0.05247386919821101	10	10	ENST00000436106.2	0.2539115947597127	0.001143414662893474	8	8	ENST00000436106.2	0.2496847323924668	0.0029952165743170334	8	8	ENST00000436106.2	0.6545655983911156	-0.019096702450588164	9	9	ENST00000586564.1,ENST00000592872.1,ENST00000585675.1	0.22868040961933966	-0.07847183304164124	10.0	10.0	ENST00000436106.2	0.3509677052555987	0.03360142854365941	9.0	9.0	ENST00000436106.2	0.27171853325687045	0.16866982246542417	8	8	ENST00000586564.1,ENST00000592872.1,ENST00000585675.1	0.23704406086957674	-0.2777652512473356	10	10	ENST00000586564.1,ENST00000592872.1,ENST00000585675.1	0.33731812260606275	-0.14507146732918527	10	10
C19orf33	all	0.7417453315107103	0.010757762196003386	10	10	all	0.7625237344014788	-0.010760943801388515	10	10	all	0.8382101911966636	0.005962214424191807	10	10	all	0.3225279748570109	-0.02588144447705126	10	10	all	0.30237976307620107	-0.0001256304550832412	10.0	10.0	all	0.10631846983317383	0.009474319889884994	10.0	10.0	all	0.3914828923200584	-0.02538789308931466	10	10	all	0.3596728851333898	-0.04373956041738449	10	10	all	0.3496131349997721	-0.0534929949363361	10	10
C19orf40	all	0.2287973970224132	-0.0389018947765307	10	10	all	0.08178414722129758	-0.03719166922457313	10	10	all	0.06113192034114635	-0.03481787884917046	10	10	all	0.8572558688443899	0.04381137271005845	10	10	all	0.687255496202307	0.008107425724154765	10.0	10.0	all	0.8186070684843536	0.016372238119884155	10.0	10.0	all	0.4431186630764379	-0.02529863657474396	10	10	all	0.6709527154449086	-0.15428631496699058	10	10	all	0.3737461788674411	-0.18719299426027694	10	10
C19orf55	all	0.8165851287415	0.007633375564171253	9	9	all	0.3353922123300416	-0.03670799673886728	10	10	all	0.3043277609130828	0.0019796345962136606	9	9	all	0.1818161692396597	0.10818955323434525	9	9	all	0.8037644897289961	0.023176590097091044	10.0	10.0	all	0.305495717722048	0.05503721131345937	9.0	9.0	all	0.2392102381807305	0.3566012227454405	9	9	all	0.6588388871285689	-0.06044228038527405	10	10	all	0.4160938236201924	0.1429975238115183	9	9
C19orf60	all	0.34552900732571334	0.008469697669789441	10	10	all	0.3024661055498168	0.0008729979985441245	10	10	all	0.9352217576965483	0.00015697751737485215	10	10	all	0.0338733816937519	0.11195181055264596	10	10	all	0.6452853572112429	-0.031140229147078934	10.0	10.0	all	0.1837841391525149	0.029921935144569433	10.0	10.0	all	0.013539578962277246	0.31959259366943454	10	10	all	0.5810195907721117	-0.2648629069156922	10	10	all	0.3017462983200939	0.19464181418961968	10	10
C19orf66	all	0.2820413243022011	-0.0347537388587092	10	10	all	0.17328312914023836	0.043114687905572775	10	10	all	0.511719796467646	-0.021376451956794964	10	10	all	0.16029413872084752	0.10984320824557893	10	10	all	0.12812680812202806	-0.08599827691039098	10.0	10.0	all	0.8055684843776154	-0.028250257713118707	10.0	10.0	all	0.381655348266871	0.07581976988385401	10	10	all	0.46310490868528287	-0.2176671788178551	10	10	all	0.9522016568834676	0.015017368952755452	10	10
C1QL1	all	0.5088286610136878	0.014073633350001008	10	10	all	0.5328467605504703	-0.006768836409062278	10	10	all	0.8462736796247212	0.0111686686096122	10	10	all	0.4868633231971319	-0.035930008143116705	10	10	all	0.6996019413871173	0.06056289776109954	10.0	10.0	all	0.9658405840171786	-0.015681019258928692	10.0	10.0	all	0.921965840927354	-0.02854588185379311	10	10	all	0.7216209529234695	0.1512067379011753	9	9	all	0.8244201423404738	0.044239646292216384	9	9
C1QTNF9	ENST00000382071.2	0.07563161333452989	-0.042714800196587834	10	10	ENST00000382071.2	0.33717639839312297	0.007682231214949107	10	10	ENST00000332018.4	0.26439201332657003	-0.018820668220083218	10	10	ENST00000382071.2	0.03720185788347132	-0.09950839752336889	10	10	ENST00000332018.4	0.44146320991634314	0.023298465498867226	10.0	10.0	ENST00000382071.2	0.04861220622153428	-0.05723807192628296	10.0	10.0	ENST00000382071.2	0.004861261082904463	-0.3222248509867642	10	10	ENST00000332018.4	0.6035249688614094	0.10882629626497843	10	10	ENST00000382071.2	0.02522256635033304	-0.18358852759434782	10	10
C1QTNF9B	ENST00000382137.3	0.226920682908196	-0.0016005819266412837	9	9	ENST00000382137.3	0.23011858088108417	0.01906143168736743	9	9	ENST00000382137.3	0.7720287708393008	0.003158190693289264	9	9	ENST00000382137.3	0.14997333014701295	0.011846632039615085	9	9	ENST00000382137.3	0.19635240649247265	-0.04010789519012697	9.0	9.0	ENST00000382140.2	0.3814019237310666	-0.036490399973448835	9.0	9.0	ENST00000382140.2	0.322987154406309	-0.1814584302527127	10	10	ENST00000382137.3	0.45587166176312255	-0.11249954652539838	9	9	ENST00000382140.2	0.38464846140464104	-0.28854891240828767	10	10
C1orf159	ENST00000379339.1,ENST00000421241.2	0.2189990027448908	-0.017369789046911156	5	5	ENST00000379339.1,ENST00000421241.2	0.6483591744645311	0.003775917825960776	5	5	ENST00000379339.1,ENST00000448924.1,ENST00000421241.2	0.4628540561489871	0.00339626278428911	5	5	ENST00000379339.1,ENST00000421241.2	0.16627816871259393	0.04175939662418591	4	4	ENST00000379339.1,ENST00000448924.1,ENST00000421241.2	0.28249363018535356	-0.10925799336459241	5.0	5.0	ENST00000379339.1,ENST00000421241.2	0.21689543661862742	0.025344257886453725	4.0	4.0	ENST00000379319.1	0.27419038691144104	-0.04550874384861689	10	10	ENST00000379339.1,ENST00000448924.1,ENST00000421241.2	0.2334845724114054	-0.3460986143466267	5	5	ENST00000379339.1,ENST00000421241.2	0.44195339701083614	0.06299161213991597	5	5
C1orf64	all	0.5459105996453153	-0.07703030580208885	10	10	all	0.23445950099540613	-0.08840614572641241	10	10	all	0.2171212322892262	-0.08163789828625637	10	10	all	0.5081358026293934	0.03526752457681944	9	9	all	0.49158737217622017	0.08867907672433506	9.0	9.0	all	0.23298999042375035	0.02234724197866329	9.0	9.0	all	0.8891571482995392	-0.24607654940177678	10	10	all	0.9635808774096621	-0.033262700642301885	10	10	all	0.7607175588655004	-0.2332873754144058	10	10
C20orf96	all	0.8044815116081698	-0.01646076001494119	10	10	all	0.6421516547220365	0.003775978334318962	10	10	all	0.9339606545722241	0.003002197583803056	10	10	all	0.5480945180213699	0.02767342545289767	10	10	all	0.36287954469019046	-0.10902126514704202	10.0	10.0	all	0.6143310758607294	-0.015667103893698135	10.0	10.0	all	0.49844157113542553	0.03252198792181657	10	10	all	0.28228312258393295	-0.2670127507946976	10	10	all	0.6232819345265354	-0.07800204330286323	10	10
C22orf29	all	0.302261605211535	-0.03569255888781545	10	10	all	0.9515589087154968	0.013988778322323177	10	10	all	0.8605788477995775	-0.017047729105315296	10	10	all	0.5130454526313359	0.014381412416873067	10	10	all	0.6822815160391842	0.02111517341894842	10.0	10.0	all	0.45057882355487355	0.012899448139892631	10.0	10.0	all	0.9314571285683314	-0.07260552189703252	10	10	all	0.7405405408406587	0.11371091413419798	10	10	all	0.8027216936241388	0.04179092453292529	10	10
C2CD4B	all	0.5891690775787652	-0.005294577583218153	10	10	all	0.3116193274169571	-0.010910707559701508	10	10	all	0.8135093389556922	-0.008813418192258353	10	10	all	0.42124829561982036	-0.07773146417011019	10	10	all	0.4839027372036665	-0.11191577325025386	10.0	10.0	all	0.29342984284366924	-0.07816699553148625	10.0	10.0	all	0.5137229600986609	-0.07837992970673333	10	10	all	0.398875013188846	-0.2826149836657154	9	9	all	0.36196133003435804	-0.1890505015097478	9	9
C3orf14	ENST00000542214.1	0.2115961190226463	-0.012427708237548976	10	10	ENST00000462069.1,ENST00000232519.5,ENST00000494481.1	0.23337461321521435	0.02647373061029117	10	10	ENST00000462069.1,ENST00000232519.5,ENST00000494481.1	0.24617815567486445	0.012179402843827215	10	10	ENST00000542214.1	0.03164133163333229	-0.10648648130384208	10	10	ENST00000542214.1	0.11436555085980503	-0.0323185110560373	10.0	10.0	ENST00000462069.1,ENST00000232519.5,ENST00000494481.1	0.7100254051963713	0.03333896539624541	10.0	10.0	ENST00000542214.1	0.007953959455975908	-0.3087529029609551	10	10	ENST00000542214.1	0.07021261367001287	0.1293400137071587	10	10	ENST00000462069.1,ENST00000232519.5,ENST00000494481.1	0.30325540093564163	0.09171781594814299	10	10
C6orf15	all	0.6114962332637572	-0.010641252805108803	9	9	all	0.921138896815676	-0.005724126342599289	9	9	all	0.8952279851934553	-0.0077075670117288	9	9	all	0.881111257121865	0.0827902085630257	9	9	all	0.15866255783117855	-0.1363911901471951	9.0	9.0	all	0.5394467810761258	-0.03048054906218368	9.0	9.0	all	0.9504479006144096	0.21516012262751852	9	9	all	0.1780186743865937	-0.40706760069487175	9	9	all	0.5231867360104191	-0.10973977328222856	9	9
C7	all	0.2012619639770219	0.0371824141403513	10	10	all	0.9424514646038928	0.01704947423224176	10	10	all	0.12641278918347623	0.007377180079206584	10	10	all	0.46673994373317174	0.03817227872413528	10	10	all	0.6141743188815323	0.05712747665340118	10.0	10.0	all	0.7237803564217683	0.01604531678691615	10.0	10.0	all	0.8347152482982712	0.1792677265008272	10	10	all	0.565879369035559	0.21309973716858024	10	10	all	0.3634618515616277	0.09131387296495096	10	10
C7orf26	all	3.905279370718001e-06	-0.09741792382923375	10	10	all	1.8065239863360126e-06	-0.09225988852694045	10	10	all	3.7742804203057053e-07	-0.08455247147624194	10	10	all	5.965900734060508e-07	-0.6603572047693477	9	9	all	5.061997021373609e-06	-0.44468144591741376	10.0	10.0	all	2.6797095031052335e-06	-0.47724686137892697	9.0	9.0	all	1.4292667608415138e-07	-1.9969922702014997	10	10	all	1.918826853742742e-06	-1.6003529494139708	10	10	all	3.6834605351997724e-07	-1.6462190288395953	10	10
C7orf31	all	0.10629610116808177	-0.02910525888097636	8	8	all	0.7658332538231316	0.005445169782870983	9	9	all	0.39364646983598084	-0.013316999768888256	8	8	all	0.7715553134218439	0.015472392196179985	8	8	all	0.1746315858239842	0.018090711746908322	10.0	10.0	all	0.37309675899270944	0.021933625426639777	8.0	8.0	all	0.6181006572899773	-0.06676238967915675	8	8	all	0.14386954273949284	0.07616530760457123	10	10	all	0.5739876449938	0.046635173336718266	8	8
C7orf43	all	0.5818505688256593	-0.003357126927777482	10	10	all	0.83469991470599	0.015118268567366986	10	10	all	0.6238249777169238	0.017067485461417706	10	10	all	0.8550791468085487	0.00023334824489345865	10	10	all	0.6948889479655527	-0.086610192972523	10.0	10.0	all	0.997764591662404	-0.0187756854659177	10.0	10.0	all	0.6931245140950204	0.11641416655898314	10	10	all	0.8064732284730368	-0.11466996854729734	10	10	all	0.7996120233396053	0.002109830917757599	10	10
C7orf50	all	0.6812587010293891	-0.05009545152766057	10	10	all	0.22003863705563798	-0.07808347699407112	10	10	all	0.36917998302775756	-0.06839739410768612	10	10	all	0.8862719171186385	0.028327052987294068	10	10	all	0.10715230488654297	0.02704596306063109	10.0	10.0	all	0.28253524738970115	0.023768344409605957	10.0	10.0	all	0.30425013671534495	-0.0924047912087408	10	10	all	0.6925039414998624	-0.17929429979881154	10	10	all	0.8788158806727088	-0.13658104387765993	10	10
CAB39	ENST00000410084.3,ENST00000409788.3	0.5766846533641468	-0.00925901403275837	9	9	ENST00000410084.3,ENST00000409788.3	0.3607847055292981	0.029746895407259454	9	9	ENST00000410084.3,ENST00000409788.3	0.7289071289702677	0.004757309105820977	9	9	ENST00000410084.3,ENST00000409788.3	0.3704168460943925	-0.08354983524956701	9	9	ENST00000410084.3,ENST00000409788.3	0.22238458906198377	-0.006620829284243239	9.0	9.0	ENST00000410084.3,ENST00000409788.3	0.15915068973931823	-0.0160840497037265	9.0	9.0	ENST00000410084.3,ENST00000409788.3	0.3439235783420974	-0.24739907149830728	9	9	ENST00000410084.3,ENST00000409788.3	0.23261676982231405	0.07414048622360118	9	9	ENST00000410084.3,ENST00000409788.3	0.17720139749102348	-0.019280085800259028	9	9
CABLES1	ENST00000420687.2	0.5978975109199031	0.015807832701685006	10	10	ENST00000256925.7	0.016167242852415803	0.03269074643287615	10	10	ENST00000256925.7	0.06541546667476665	0.008985077445609191	10	10	ENST00000420687.2	0.7401855504957846	-0.041789908430043904	10	10	ENST00000256925.7	0.08967067531427632	-0.03368140078220544	10.0	10.0	ENST00000256925.7	0.24171983489493454	-0.014388965906543085	10.0	10.0	ENST00000420687.2	0.5923975253203222	0.0252102894053489	9	9	ENST00000256925.7	0.4934026480865359	0.11615919333501534	10	10	ENST00000256925.7	0.7375397006033156	-0.01963827988401397	10	10
CABLES2	all	0.5544726885314454	-0.009880080442890871	9	9	all	0.49828675495800223	-0.021276090126611913	9	9	all	0.24226645538745772	-0.004941802768169991	9	9	all	0.3885381605810062	-0.07095797423086092	9	9	all	0.4515281262891634	0.023207207675886358	9.0	9.0	all	0.9515391026689538	-0.02475365328858843	9.0	9.0	all	0.24444574538091557	-0.17809734857216086	9	9	all	0.4478169277385333	0.020218508615717095	9	9	all	0.7909068137706454	-0.003356746781583699	9	9
CACNA1F	all	0.5063309628640157	-0.01279305018705004	7	7	all	0.17403550139854218	0.03372342740029012	7	7	all	0.6920205077255905	0.003997101658246721	7	7	all	0.8108009332943596	-0.03496967048792462	7	7	all	0.23735583047919595	0.047708724063583896	7.0	7.0	all	0.5266644455092251	0.025356328287320096	7.0	7.0	all	0.7369427612699484	-0.12477462414013209	7	7	all	0.19562720088093954	0.4279777452267051	7	7	all	0.5387507454713607	0.14026302318070707	7	7
CACNA1G	ENST00000352832.5,ENST00000442258.2	0.32599685988442506	-0.01673090709134049	9	9	ENST00000352832.5,ENST00000442258.2	0.2924072252465102	-0.012057230462968008	10	10	ENST00000352832.5,ENST00000442258.2	0.07705820520324731	-0.023136913562303307	9	9	ENST00000442258.2,ENST00000510115.1,ENST00000515165.1,ENST00000514181.1,ENST00000514079.1,ENST00000507896.1,ENST00000515411.1	0.17631689812648832	0.030726567212451577	10	10	ENST00000442258.2,ENST00000510115.1,ENST00000515165.1,ENST00000514181.1,ENST00000514079.1,ENST00000507896.1,ENST00000515411.1	0.13176066860647892	-0.05815291524041338	10.0	10.0	ENST00000352832.5,ENST00000442258.2	0.2857744411634534	0.030450719958021472	10.0	10.0	ENST00000442258.2,ENST00000510115.1,ENST00000515165.1,ENST00000514181.1,ENST00000514079.1,ENST00000507896.1,ENST00000515411.1	0.10828497344405624	0.024267869027069826	10	10	ENST00000442258.2,ENST00000510115.1,ENST00000515165.1,ENST00000514181.1,ENST00000514079.1,ENST00000507896.1,ENST00000515411.1	0.039447761057658154	-0.1692735147404524	10	10	ENST00000352832.5,ENST00000442258.2	0.8245742813022989	0.08928970406611077	10	10
CACNA1H	ENST00000358590.4	0.2298104273262751	-0.007774069818792311	9	9	ENST00000565831.1	0.2836370308884286	0.02424946806924985	10	10	ENST00000358590.4	0.11490134205715914	-0.020339137324392964	9	9	ENST00000565831.1	0.2852889477165854	0.10203431031266193	10	10	ENST00000565831.1	0.6837430315495949	-0.030120812552318636	10.0	10.0	ENST00000358590.4	0.473082764110885	0.00940749405284755	9.0	9.0	ENST00000565831.1	0.3844787481231777	0.3275633985144187	10	10	ENST00000565831.1	0.8513419893920835	0.15553900031075166	10	10	ENST00000565831.1	0.7650113980483946	0.15281296824742996	10	10
CACNA2D3	all	0.5516916375331593	-0.022199643226441728	10	10	all	0.8747325986612016	0.0029571398440001446	9	9	all	0.33480209363047775	-0.009168569399465082	9	9	all	0.781526602075975	0.048648599900454836	10	10	all	0.7398133174075181	-0.03942755367154054	10.0	10.0	all	0.7716837171609405	0.03247476300605851	10.0	10.0	all	0.6908958007953914	0.10544829000441125	9	9	all	0.7573953495069554	-0.1311516744119457	10	10	all	0.7811201022547841	0.07651254520887647	9	9
CACUL1	all	0.3375261971430582	0.0025400964733611115	10	10	all	0.20260756553918013	-0.024047178687221074	10	10	all	0.7161825864996221	-0.007387488439983558	10	10	all	0.03536592649222852	-0.09240343104948497	10	10	all	0.7299130153364037	0.0323828247021855	10.0	10.0	all	0.18670542692859438	-0.0420718226990551	10.0	10.0	all	0.07880457550172662	-0.20439712250193795	10	10	all	0.8656847643573443	-0.051549588411541815	10	10	all	0.23043206639043423	-0.1508944601344583	10	10
CACYBP	all	0.6885001031863608	0.007149885202520714	10	10	all	0.5634175868658005	0.0012187470101391966	9	9	all	0.5457701759510476	-0.004274187262225988	9	9	all	0.34027624699852044	-0.06039196729645654	10	10	all	0.2375385012331277	-0.08372322116141045	9.0	9.0	all	0.3453296158269944	-0.02431626467259873	9.0	9.0	all	0.5423479406029714	-0.08780973296847816	9	9	all	0.21215763216204397	-0.19674292743036523	9	9	all	0.2543442699861528	-0.17375519574974752	9	9
CAD	all	1.242755985767204e-06	-0.4858474188617601	9	9	all	3.533977855988911e-06	-0.48916955036258064	10	10	all	1.0075426930277628e-06	-0.4681407231274835	9	9	all	0.8221495749796017	-0.008139792238704948	2	2	all	0.7853420137817699	0.012466993988818228	2.0	2.0	all	0.9149382704861675	0.002163600875056638	2.0	2.0	all	4.5988063614379385e-06	-2.10152895159573	9	9	all	1.3561297121710557e-05	-2.325268779839791	10	10	all	1.2827172451361204e-05	-2.1576325863078076	9	9
CADM1	all	0.5086748930167231	0.007045742456970244	9	9	all	0.2794729908069332	-0.013541033728060687	9	9	all	0.7070324816841271	-0.0074968168893702275	9	9	all	0.7193858071521453	-0.050555349178214214	9	9	all	0.3817703091243042	0.09165334460205043	9.0	9.0	all	0.8394630148382833	0.029620405550067702	9.0	9.0	all	0.9327394336958105	-0.09153492878952567	9	9	all	0.5682332775693508	0.14036357941267097	9	9	all	0.7365684444522245	0.05536158608835528	9	9
CADM4	all	0.5073428597064085	0.0032463083936686205	9	9	all	0.6089067819687437	0.007086349421519298	9	9	all	0.9376856612873281	-0.007938049476521998	9	9	all	0.03274402156180971	0.11362226006817916	9	9	all	0.36486644296333537	-0.03553252115050707	9.0	9.0	all	0.2979884440238413	0.058947391548141076	9.0	9.0	all	0.0929580568990946	0.346119915948964	9	9	all	0.498406544278281	-0.09569491602046358	9	9	all	0.4938135942963887	0.10480552236276976	9	9
CALCA	ENST00000486207.1	0.04226270063959514	0.024239185517364394	9	9	ENST00000486207.1	0.5143571496175601	-0.01369970594757087	10	10	ENST00000486207.1	0.08371003669011252	0.02105254225365775	9	9	ENST00000486207.1	0.3964004556409133	-0.0686523696746056	9	9	ENST00000361010.3	0.4395754533688295	-0.09713128580875334	10.0	10.0	ENST00000486207.1	0.22161875303533496	-0.03242194860038581	9.0	9.0	ENST00000361010.3	0.895138576736898	-0.013520675248631852	10	10	ENST00000361010.3	0.35284184412592823	-0.2772648820018854	10	10	ENST00000361010.3	0.4866974809772253	-0.10236181522277671	10	10
CALCR	ENST00000426151.1	0.5880889542588226	-0.012780964668713623	9	9	ENST00000426151.1	0.1661314554874097	0.025627278094152096	9	9	ENST00000426151.1	0.6774252194736374	0.006451957939261597	9	9	ENST00000394441.1	0.07985326792475078	-0.10306667848542879	10	10	ENST00000394441.1	0.3711282505387117	-0.04772754343142092	10.0	10.0	ENST00000394441.1	0.10357329397095351	-0.08717177866605734	10.0	10.0	ENST00000394441.1	0.06419199304031356	-0.27197070970166926	10	10	ENST00000426151.1	0.19245927614182623	0.1405782115377457	9	9	ENST00000426151.1	0.14343691888959556	0.020047545142797708	9	9
CAMK2N2	all	0.3274320484440285	0.008268827320936603	9	9	all	0.42545960020889273	0.017963723529302564	9	9	all	0.16834561049999863	0.021991135514128474	9	9	all	0.6306230987607166	0.03565809824687991	9	9	all	0.42182613492185306	-0.03960971314183817	9.0	9.0	all	0.3321194508326589	-0.014884779991116674	9.0	9.0	all	0.9855946217734032	0.11241265003801633	9	9	all	0.6304747745519067	0.08665374692326429	9	9	all	0.6092271880594676	0.09797452935543464	9	9
CAMTA1	all	0.5662746186488382	-0.02312864132844436	10	10	all	0.1086406211977029	-0.05260980456458403	10	10	all	0.1584649788831035	-0.03184291035444493	10	10	all	0.5468944235246511	0.040032675985864484	9	9	all	0.588339896432243	-0.08688011495740995	9.0	9.0	all	0.8348471786313532	-0.0006822599440068633	9.0	9.0	all	0.997458248902817	0.04827275127967112	10	10	all	0.11941818657871778	-0.47348144883047755	10	10	all	0.31126037597470413	-0.20936429656279576	10	10
CAPNS2	all	0.31027483597832106	0.0076168132558042875	10	10	all	0.19954995647689378	0.0437499197122038	10	10	all	0.07068145917823623	0.027424473964790533	10	10	all	0.6271628875731385	0.03820262214718404	10	10	all	0.29022650469364697	0.06900230162703623	10.0	10.0	all	0.22022432022938798	0.028512890663458842	10.0	10.0	all	0.2672613481956454	0.18250827006734782	10	10	all	0.09778500434936614	0.34377584103874903	10	10	all	0.062005749362931836	0.21803133434164468	10	10
CARD10	ENST00000403299.1	0.23185723429537886	0.014604353948449581	6	6	ENST00000251973.5	0.5983129972201144	-0.008132032748084073	6	6	ENST00000251973.5	0.3118597487056257	-0.009703236000658217	6	6	ENST00000251973.5	0.745763548506809	0.040968486304936054	6	6	ENST00000251973.5	0.00925658348505614	0.09149332645484722	6.0	6.0	ENST00000251973.5	0.07447492233369715	0.07835493025721262	6.0	6.0	ENST00000403299.1	0.6891436209181134	0.10743468465248289	6	6	ENST00000251973.5	0.029325946119305727	0.3089889940570882	6	6	ENST00000251973.5	0.1332006633757686	0.22701546558757071	6	6
CARD11	all	0.113136801797476	-0.17688229915448236	10	10	all	0.0464898385897866	-0.162952757378375	10	10	all	0.02763669196555604	-0.1675326547870726	10	10	all	0.9255064426656224	0.16774355719065762	10	10	all	0.6279516092302714	0.08441700004512509	10.0	10.0	all	0.787036179215884	0.09184191163630538	10.0	10.0	all	0.11985607739441244	-0.30799946928445776	10	10	all	0.021487792416772858	-0.30657013019831336	10	10	all	0.02172722419753206	-0.29956836955789634	10	10
CARD14	ENST00000344227.2	0.3131029085261443	0.045415205928310574	10	10	ENST00000344227.2	0.4883130194328841	0.01835688640123705	9	9	ENST00000344227.2	0.2389154563927136	0.025326750751883596	9	9	ENST00000573882.1	0.33191722020678904	0.06641814905929994	10	10	ENST00000573882.1	0.2653772880503694	-0.05035609032059732	10.0	10.0	ENST00000573882.1	0.6364399412853428	0.013032073822792145	10.0	10.0	ENST00000573882.1	0.38122210923346456	0.1871164408688529	10	10	ENST00000573882.1	0.19471476334359583	-0.19098560992489289	10	10	ENST00000573882.1	0.893430394679781	-0.0692214475927618	10	10
CARD16	ENST00000375706.2,ENST00000375704.3	0.13133643097982936	-0.03641514472721561	9	9	ENST00000375706.2,ENST00000375704.3	0.04262111285028975	-0.050010213004521	9	9	ENST00000375706.2,ENST00000375704.3	0.02272294365575875	-0.0386473740057832	9	9	ENST00000525374.1	0.0900223804358814	0.1167417235396896	10	10	ENST00000525374.1	0.08495683028377717	-0.10155273767356159	10.0	10.0	ENST00000375704.3	0.2670708063897439	-0.04508429132014867	1.0	1.0	ENST00000375706.2,ENST00000375704.3	0.1600314855011955	-0.10874473239847304	9	9	ENST00000525374.1	0.4303830508390092	-0.3145482239495048	10	10	ENST00000375706.2,ENST00000375704.3	0.4214639631028759	-0.06132128417068789	9	9
CARD17	all	0.032863149812526304	-0.05377825745679995	10	10	all	0.06283642665712523	0.02239075574706691	10	10	all	0.8018395020801414	-0.020409481208538274	10	10	all	0.11185865444946391	0.1167417235396896	10	10	all	0.049399482377464166	-0.11705810732871626	10.0	10.0	all	0.8442052802663947	-0.022674958118548517	10.0	10.0	all	0.9001802044577398	-0.047742866762904346	10	10	all	0.29454398165467055	-0.3145482239495048	10	10	all	0.43725610872175336	-0.08453638969700938	10	10
CARD18	all	0.25215847712025086	0.006840157086233547	10	10	all	0.2871949502047506	-0.036539380324409176	10	10	all	0.9459473793826305	-0.012679331014968992	10	10	all	0.5919311942817733	-0.031318669358920886	10	10	all	0.8235408062277835	-0.011769371966402445	10.0	10.0	all	0.6934072892072516	-0.023076139910053056	10.0	10.0	all	0.8828677418131541	-0.0846498075354573	10	10	all	0.32050880561980555	-0.12720439367649963	10	10	all	0.5352977549057767	-0.07236711091559579	10	10
CARD6	all	0.28987288081794327	-0.02648661035346739	10	10	all	0.25246839487767114	-0.03711152786239532	10	10	all	0.12118679071655647	-0.024228838918811557	10	10	all	0.278204798674908	0.03448509458448628	10	10	all	0.5235258842801735	-0.09932055114737719	10.0	10.0	all	0.44531094777699354	-0.03377901341969784	10.0	10.0	all	0.6195006346824894	0.07709487138976556	10	10	all	0.9711776469900598	-0.3533011466195531	10	10	all	0.7989904686635845	-0.17726158134221603	10	10
CARD8	ENST00000521613.1,ENST00000519940.1	0.23371309925201833	0.007588242764647541	10	10	ENST00000391898.3	0.11165534808865378	0.018039914411275604	4	4	ENST00000391898.3	0.3653108529061222	0.005811715095848726	4	4	ENST00000359009.4,ENST00000520153.1	0.09557578680828321	0.14557591552258978	1	1	ENST00000391898.3	0.41674701433558237	0.027152453531412282	4.0	4.0	ENST00000359009.4,ENST00000520153.1	0.15570304062564724	0.06253601861968251	1.0	1.0	ENST00000359009.4,ENST00000520153.1	0.11001248303059741	0.3230940922270186	1	1	ENST00000391898.3	0.10467886154138527	0.13810027397090974	4	4	ENST00000359009.4,ENST00000520153.1	0.14042183387235788	0.19486049060285898	1	1
CARD9	all	0.5370357084437124	-0.01045701533637102	10	10	all	0.7234551784795993	-0.015281470783277844	10	10	all	0.5449041758764466	-0.014096105355629785	10	10	all	0.9176419155560622	-0.060731640019383915	10	10	all	0.8897865214762988	0.030074092280493885	10.0	10.0	all	0.9441603790309365	-0.03859972084916997	10.0	10.0	all	0.4613205294269396	-0.21929173629757057	10	10	all	0.8209548194103016	-0.0949012138036525	10	10	all	0.5039964233786456	-0.19333728237377024	10	10
