		gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau
		Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
		Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene	transcripts																																				
ABHD17A	all	0.529523692278473	-0.04151889669860893	10	10	0.6767071113587856	-0.018345579073648626	10	10	0.9743809149518803	-0.010042934902747403	10	10	0.10333965035683274	-0.06147703801264063	9	9	0.04763168741347129	-0.030877838002183217	9	9	0.05313788433726364	-0.11122512894466864	9	9	0.16497534273405012	-0.4736816827588819	10	10	0.05214202522246078	-0.1538607556515105	10	10	0.0239901427402122	-0.3191740929132141	10	10
ABI1	ENST00000376142.2,ENST00000359188.4,ENST00000376138.3,ENST00000355394.4,ENST00000346832.5,ENST00000376134.3,ENST00000376137.4,ENST00000536334.1	0.21017641294402656	0.02358281635629779	1	1	0.7166560116991547	-0.005463356326187641	1	1	0.4215342366999355	0.009059730015055074	1	1	0.5496401291388875	0.027652032003501737	1	1	0.2613876764515579	0.05645267176449	1	1	0.25841270510332015	0.04205235188399587	1	1	0.24976871411781287	0.16904755545722328	1	1	0.3057810113232906	0.15360012961143368	1	1	0.18478617895017402	0.16132384253432847	1	1
ABI1	ENST00000376170.4,ENST00000376142.2,ENST00000359188.4,ENST00000376138.3,ENST00000355394.4,ENST00000346832.5,ENST00000376134.3,ENST00000376137.4,ENST00000536334.1	0.42950170894125106	-0.00842180040242816	3	3	0.7148538251475703	0.0026721410057783525	3	3	0.8270919577867891	-0.002874829698324904	3	3	0.03848808230482685	-0.08341100173972486	3	3	0.9100512480561986	0.0017176757987625198	3	3	0.11831003150508511	-0.04084666297048117	3	3	0.03265491705856219	-0.2476364369688223	3	3	0.7701707667006994	0.016600257488681203	3	3	0.18185900248929676	-0.11551808974007054	3	3
ABI1	ENST00000376170.4,ENST00000376142.2,ENST00000359188.4,ENST00000376138.3,ENST00000376140.3	0.9608697814426826	-0.0007156022474594294	3	3	0.6455659626647295	-0.006272899942664736	3	3	0.6008193475599256	-0.003494251095062082	3	3	0.03848808274765335	0.06081826853827076	3	3	0.24918394392615195	-0.03476252883031485	3	3	0.45756769224745175	0.013027869853977955	3	3	0.06215853256818428	0.1685928684965503	3	3	0.17116781043787666	-0.13382291075200134	3	3	0.7364752547657332	0.017384978872274495	3	3
ABI1	ENST00000376170.4,ENST00000376142.2,ENST00000359188.4,ENST00000376140.3	0.3593131515900775	-0.016974884842297127	1	1	0.14938297996573818	-0.03332281324697571	1	1	0.13941667415140005	-0.02514884904463642	1	1	0.689374347581964	0.01745043576277843	1	1	0.1704579786323812	0.0748881016625658	1	1	0.23361326680425798	0.046169268712672115	1	1	0.9586901855832393	-0.007991417221009075	1	1	0.5035676603613708	0.09638929158594482	1	1	0.644960655061279	0.044198937182467875	1	1
ABI1	all	0.19815987411410807	0.030882967040591933	6	6	0.23572276840984696	0.010040081120003302	6	6	0.13674294247840293	0.023226254544280827	6	6	0.3980267940901294	-0.03290335374721437	6	6	0.3149285284833413	-0.07672323569542691	6	6	0.23296913156125565	-0.049888819197449974	6	6	0.913089483232233	-0.016941935418472692	6	6	0.4947799114033494	-0.038864298785825	6	6	0.6853474768479719	-0.03125643936740025	6	6
ABLIM2	all	0.6531932489290572	-0.010648950266479941	9	9	0.9555496893839435	-0.011694807780312616	9	9	0.6927870011083782	-0.009530111118157077	9	9	0.28110547318135704	0.037546107585553504	9	9	0.07231242864972863	-0.0960107492847363	9	9	0.6184768969045756	-0.024221269272555985	9	9	0.3826850004239615	0.21036515301266678	9	9	0.1756034364975746	-0.4087792681346083	9	9	0.49757078111488706	-0.09567350642190199	9	9
ABTB1	all	0.3849591919257471	-0.06530277496464203	10	10	0.5284511692205756	-0.061725587049252344	10	10	0.5549575642826305	-0.07989984468658366	10	10	0.22298584939332933	0.06968051740830382	9	9	0.21452946961024877	0.11879859116324847	9	9	0.0673798138288955	0.07502854416259086	9	9	0.6504377425897394	-0.12138513676335216	10	10	0.41136649217963683	0.09562927385778242	10	10	0.15313195634366053	-0.10285433247634361	10	10
ACADM	ENST00000370841.4	0.4699560740355764	-0.017771969512973763	10	10	0.6177711463384565	-0.00777332478686063	10	10	0.3845931642521425	-0.011543313746939282	10	10	0.8056578704396851	0.1311490347582438	10	10	0.9466629393410066	-0.01746304879502182	10	10	0.9384277573485881	0.03839875444664937	10	10	0.8387588240046083	0.10129590664404464	10	10	0.7634434682291453	-0.06199912595280677	10	10	0.9990370411340032	0.051892957243582526	10	10
ACADM	ENST00000420607.2	0.05235491352096709	-0.046319689930236864	10	10	0.22152615136540177	0.003160574820511739	10	10	0.5554891909661036	-0.02884294213099882	10	10	0.0474216897588939	0.09900962634723924	10	10	0.3632997427616558	-0.07941976122505123	10	10	0.5066926207255886	-0.028622507672372108	10	10	0.3928047396063802	0.10807030695219111	10	10	0.5522579023322072	-0.21162786942213874	10	10	0.9836308437523491	-0.09854060627946175	10	10
